symbol	log2FC	baseMean	group
Higd1c	2.7948	1.552	None
Mapk4	-1.5284	11.927	None
Oas3	1.3557	38.8979	None
Gm867	-0.6268	3.8788	None
Synj2	2.0154	116.5066	Up
Prr7	2.0159	13.1303	None
Thy1	0.7444	39.0726	None
Taf1a	-0.0905	59.7654	None
Ythdf2	0.0831	342.1287	None
Rad50	0.4772	90.0332	None
Malsu1	0.0651	35.1468	None
Zmat2	-0.0979	210.4135	None
Bloc1s6	-0.1175	209.4736	None
Podnl1	-1.119	5.9874	None
Top1	-0.4284	383.0608	None
Rbm43	0.7878	96.5146	None
Mir1892	0.6566	272.3592	None
Polr3g	-1.7656	111.3188	Down
Coq3	-0.4562	97.554	None
Mllt10	-0.1112	342.9898	None
Gm13199	-0.9344	8.1891	None
Marveld1	-1.121	688.6532	Down
Bmp6	2.4225	227.7468	Up
Selenbp1	-0.2396	1529.5118	None
Magef1	0.2435	26.8013	None
Vps41	0.1891	213.9137	None
Slitrk4	4.5967	2.4551	None
Med6	-0.1223	37.985	None
Golph3	0.05	1037.7938	None
Gm5115	0.1098	14.4378	None
4921531C22Rik	0.5708	23.8375	None
Smg7	-0.1775	463.2868	None
Ablim2	0.6711	37.4811	None
Fbxo46	-0.3479	99.7606	None
Acot10	1.911	169.3625	Up
Slc44a2	0.4878	141.1447	None
Mcf2l	0.3462	4.1499	None
Abhd16a	-0.6536	70.6946	None
Ptcd3	-0.642	147.5644	None
Gfm1	-0.1725	111.1534	None
Sacm1l	-0.0542	724.4138	None
Nostrin	0.183	41.5513	None
Aida	0.6996	196.0803	None
Arsb	0.5653	488.8085	None
Txnl1	-0.2745	215.2352	None
4933406C10Rik	-0.8353	2.8038	None
Camta2	0.119	356.855	None
A830010M20Rik	2.393	172.203	Up
Scd4	-1.3739	1.5453	None
Cited2	0.7567	459.4487	None
Cnn1	-0.1472	3.9375	None
Msmp	-0.6147	163.9711	None
Gm6578	0.0273	202.058	None
Dlk1	0.4521	2.5766	None
Mirt1	0.9448	5.4597	None
Gpr153	1.2619	39.839	Up
Garnl3	0.7402	2.4863	None
Nudt16l1	0.0058	287.2296	None
Eif1b	-1.0303	93.5758	Down
Borcs5	-0.6599	104.9522	None
Ugcg	0.0448	572.3215	None
Ppm1g	-0.2287	335.41	None
Lrrc75a	1.7125	28.2423	Up
Lims1	0.8073	351.1237	None
Arhgap15	1.3509	21.0957	None
Chaf1a	1.5058	22.7415	Up
Klhl23	-0.849	19.3055	None
Neto2	0.5621	13.0371	None
Jdp2	1.4045	46.087	None
Ppfibp2	0.7455	144.6644	None
Ggn	0.5918	6.404	None
Sftpa1	1.1141	25.9975	None
Trappc4	0.0811	154.9999	None
Dele1	-0.1794	216.6361	None
Colgalt1	0.6205	1072.6337	None
Adgra2	0.789	142.6242	None
Necab1	0.3769	454.9434	None
Yod1	-0.0015	121.0804	None
Ddit4l	0.4656	17.748	None
Tnfrsf1b	0.8618	803.7526	None
Nup85	-0.3017	29.9151	None
Spopl	0.2891	47.0056	None
Fli1	0.2661	61.339	None
Sh3tc2	0.0021	7.6105	None
Uckl1	-0.5107	61.6308	None
Lrrc19	-0.6412	3.2227	None
Magt1	-0.5976	1022.2839	None
Adam17	0.1342	369.5583	None
Nfat5	-0.0576	768.5577	None
Gigyf2	-0.2517	341.2229	None
Rcor1	0.268	386.3677	None
Vcl	0.7854	583.0307	None
Ube2w	-0.0431	273.8746	None
Drg1	-0.1287	197.4141	None
Arpp19	0.5691	359.9681	None
Nhsl1	1.7514	244.5599	Up
Pms2	-0.099	15.3345	None
Gm9833	1.4468	70.9121	Up
Map3k14	1.2644	72.9718	Up
4632427E13Rik	-0.2777	3.4877	None
Rpl36a	-0.7303	11.7439	None
Brinp1	2.4549	2.3048	None
Herpud2	0.1758	335.0616	None
Msh6	0.1644	155.0458	None
Coro1a	0.2888	50.1558	None
Yeats2	-0.522	109.5016	None
Psd2	4.2932	1.9881	None
Fam162a	-0.1549	36.181	None
Hypk	0.0864	79.0362	None
Mknk2	0.323	2778.6602	None
Rad54b	0.5467	39.9205	None
Arhgap4	0.7567	60.408	None
Mmp12	6.321	44.6038	Up
Mpped2	-4.4736	3.7036	Down
Sfrp2	3.9306	3.2198	None
Rnf219	0.8672	22.1402	None
Cdkn1c	-0.0817	42.3745	None
Chd8	-0.1081	344.0538	None
Rnf34	0.2111	81.6942	None
Csf3	3.256	2.0726	None
Pus7	-1.1077	89.3713	Down
Cul9	0.1882	111.2926	None
Phldb3	0.7227	49.7612	None
Gdf6	1.1386	18.5613	None
Cd34	1.1696	49.433	None
Eno4	1.034	3.9027	None
Vps72	-0.257	103.9526	None
Ciapin1	-0.4222	191.4478	None
Get4	-0.2193	128.1435	None
Cdipt	0.1937	589.7295	None
Gclm	0.4393	1914.7689	None
Trmt9b	1.1184	87.2446	Up
Cacnb4	-1.7959	36.8894	Down
Ankrd55	0.7953	6.4316	None
Hdhd3	-1.0179	347.7643	Down
Dhh	0.3631	4.5736	None
Rtn4	1.2905	2329.0334	Up
Cenpv	-0.7587	96.8847	None
Usp38	-0.2004	291.9188	None
Gsk3b	0.6641	588.7356	None
Fads3	-1.7775	322.6407	Down
Ints6	-0.1321	74.4516	None
Mrpl14	-0.6814	317.9221	None
Dusp11	-0.2439	909.2814	None
Prr13	0.062	404.1967	None
Coro1c	0.8157	530.6103	None
Adgrl1	-0.1768	188.9178	None
Bach2os	-0.0696	16.3755	None
Mir294	-3.0525	1.4829	None
Mical3	-0.2272	303.3112	None
Parp4	0.0455	187.7911	None
Romo1	-0.4566	33.0977	None
Lrig1	0.155	313.6311	None
Cox7b	-1.1079	77.0901	Down
Uba3	0.0206	177.1974	None
Mir1291	-1.3911	8.8342	None
Gm34746	3.0404	8.4332	Up
Pik3c2a	0.8803	551.8318	None
Olfm1	0.0684	60.6216	None
Aurkaip1	-0.5333	402.6288	None
Rabif	0.0828	242.4051	None
Hras	-0.1755	237.263	None
Catsper2	0.7458	18.8948	None
Cwc25	0.3369	120.9776	None
Nlgn3	1.1386	3.3781	None
Ttll12	0.6088	117.3574	None
Bglap3	1.7471	8.8442	None
Hspbap1	1.2896	30.3543	Up
Tstd2	-0.0076	265.8249	None
Coq6	-0.217	19.3038	None
Dennd2a	-0.1932	54.3559	None
Dtwd2	0.539	30.0924	None
Tbc1d8b	0.2503	281.5479	None
Stk36	0.0219	6.7384	None
Pcdhb20	2.89	4.5505	None
Tigd2	-0.1933	197.7384	None
Abhd6	-1.5688	228.8128	Down
Cryab	0.7975	23.9865	None
A730017L22Rik	-0.5767	184.108	None
Slc12a5	0.163	25.8772	None
Proser3	0.2389	37.7741	None
Trmt2a	0.2536	180.1151	None
4933417A18Rik	-4.1776	1.4818	None
Cx3cr1	4.3054	167.5578	Up
Pgghg	-0.2655	323.7784	None
Tmem35a	2.0072	1.8964	None
Arl4a	1.2862	391.0907	Up
2610524H06Rik	0.6294	7.9014	None
Plvap	0.0114	624.7014	None
Gm28043	-0.3334	523.7414	None
Fkbp8	-0.4133	1549.7571	None
4930528A17Rik	0.5251	1.8082	None
E130308A19Rik	0.2615	55.5319	None
Lsr	0.8626	2586.2422	None
Atp6v1b2	0.4894	564.6449	None
Fut11	-0.9774	98.5988	None
Jcad	1.3822	249.0684	Up
Pgm2	1.4265	25.0785	Up
Atrip	-0.2585	61.3192	None
Mical2	1.4397	296.7776	Up
Msn	0.9313	498.3943	None
Fam216a	-0.1918	51.2518	None
Tmem229a	-1.248	8.2723	None
Thsd4	-1.4503	13.0577	None
Map1s	0.9519	133.8845	None
Scaf4	-0.4008	261.3836	None
Rcbtb2	0.6643	112.9171	None
A430035B10Rik	-0.3342	20.4493	None
Slc35c2	0.2543	234.3616	None
Guca1a	1.572	11.9592	None
Megf6	-0.3884	8.0468	None
Gm10033	-0.6117	121.1112	None
Cdk19	0.5361	179.9217	None
Specc1	1.8301	83.486	Up
D830050J10Rik	0.3531	117.7825	None
Mpp4	-0.5037	210.8642	None
Kidins220	0.0781	758.7914	None
Ebf1	0.4289	4.2848	None
Pcdha1	2.9508	1.7096	None
Wars	0.0865	146.4035	None
Daxx	0.3655	180.7547	None
Ndufb2	-0.3654	12.5339	None
B4galnt2	0.2077	8.2295	None
Tacc2	1.3747	230.4717	Up
Mir1906-2	-3.7376	23.4232	Down
Washc3	-0.7733	18.1523	None
Zbtb10	0.7462	137.225	None
Npc2	0.3956	1225.0672	None
Zfp667	-0.691	36.7879	None
Mea1	-0.0721	289.7132	None
Pax8	4.6187	2.4977	None
Pzp	-0.044	5655.5671	None
Pnpo	0.2245	2842.2813	None
Tmem234	-0.4169	648.3036	None
Gemin5	-0.1916	78.1499	None
Mir17hg	-1.3622	47.9361	None
Rad51	0.9494	8.1895	None
Celf4	-1.3336	7.4526	None
Wdr35	-0.1608	22.4724	None
Rmi1	-0.4827	197.6985	None
Atad5	0.2208	26.3653	None
Golim4	-0.2273	805.2264	None
Proc	-0.6036	3436.9588	None
Muc13	2.219	4.9792	None
Ly6d	7.5129	1183.0837	Up
Clstn2	-2.5512	1.9167	None
Trim26	-0.1159	556.0989	None
Frat2	0.3502	41.7426	None
Gm15441	1.101	402.2254	None
Surf6	-0.1368	163.2979	None
Ebpl	-1.0104	494.1682	Down
Traf2	-0.1036	115.9021	None
Gspt1	-0.4295	996.2753	None
Gimap9	0.3163	109.0848	None
Vamp3	0.0323	258.1383	None
