symbol	KO	OE	group
HIST1H2AH	-1.1557	2.7105	None
GSK3A	0.1585	-0.4752	None
CNTROB	0.0482	0.405	None
RNF31	0.2319	-1.2515	None
AL603750.1	-0.619	0.6458	None
ZMYND10	-0.5343	1.0277	None
CGNL1	0.4284	0.3088	None
SCLT1	0.4428	0.5368	None
ADIPOR2	0.1823	-0.4192	None
RELN	0.0323	0.8052	None
AC090971.3	0.8156	3.9367	None
TAC4	-0.7515	1.8162	None
PNMT	1.9951	1.1563	None
FOXD2-AS1	-0.5178	0.5648	None
SYNCRIP	-0.0786	-0.1741	None
ATP6V1E1	-0.0417	0.0573	None
H3F3AP4	-0.1351	0.8328	None
HDAC9	-0.1728	0.0329	None
AC006128.1	-0.2438	2.9481	None
NAGK	-0.019	0.2943	None
CSKMT	-0.6855	-0.4092	None
PRKCE	0.4732	-1.3944	None
AC024475.1	0.0772	0.5255	None
CUL4A	-0.0109	0.4687	None
UQCRQ	-0.0617	0.4528	None
SRL	0.0436	-0.6443	None
AC105233.5	-0.4273	1.0444	None
YBX3	0.2055	-0.63	None
FAM86GP	-1.0838	1.3027	None
MAOB	-0.2601	-0.3708	None
SLC26A7	0.4691	2.2273	None
DHX58	-0.14	-0.1675	None
LRRC42	-0.056	-0.0151	None
VSIG10L	-0.0005	0.438	None
AFTPH	0.1686	-1.0022	None
P2RX5	-0.5894	0.5623	None
AL157827.2	-0.1479	3.5046	None
LEPROTL1	-0.0625	-0.1911	None
AC005479.1	0.0012	-1.5329	None
AC009090.5	-0.3468	2.733	None
RPL23AP23	0.0306	2.4429	None
KLRB1	-0.6705	0.7059	None
AC092953.1	0.5012	3.3386	None
AP001020.3	0.1922	4.0427	None
AC018553.2	-0.6991	0.0032	None
ZCCHC24	0.4929	-0.8774	None
TEFM	-0.3419	0.2851	None
USP44	0.5144	0.5865	None
FAM91A1	0.1547	-0.8189	None
TCERG1L-AS1	-0.7153	-1.4823	None
ZBTB8B	-0.8059	1.3505	None
SRRM2	0.0922	0.7236	None
HNRNPA1P4	0.5772	-0.1388	None
LGALS1	0.2797	-0.2469	None
TMA7	-0.2326	1.6294	None
AC099343.3	-0.2689	0.162	None
PPIAP4	0.0366	0.5512	None
LBR	0.1768	-0.2927	None
AL138885.3	-1.1705	-0.2817	None
SEPHS1	-0.0387	0.0098	None
AL391825.1	0.8818	2.3818	None
FAM20B	0.0247	-1.3153	None
ADCY10	-0.7075	-1.8669	None
CDON	0.1348	-0.2429	None
RPL21P11	1.4474	-0.6362	None
AC005034.3	-0.2028	-0.059	None
TCEAL4	-0.0803	0.3785	None
USP33	-0.0243	-0.1169	None
AC008761.3	0.2018	3.2361	None
GET4	0.3182	-2.0543	None
MRPL27	-0.2466	0.6955	None
AC091057.1	-0.0894	1.5598	None
AC127496.5	-0.4856	1.2121	None
AL365356.5	0.8534	-0.2879	None
AC005077.2	-0.1028	-1.706	None
COL1A1	0.2105	1.2062	None
SOX13	0.0424	-0.4222	None
UGCG	0.2987	-0.6809	None
AP000873.2	-0.1778	1.4115	None
AC020910.5	0.3523	-0.7253	None
VPS16	0.0052	0.1137	None
SLC35B3	-0.1154	-0.145	None
SH2D7	-0.5078	-0.2734	None
AL354707.1	-0.4815	0.1265	None
PITPNA	0.2311	-0.7106	None
AC022113.1	-0.534	1.4548	None
CFP	0.1684	2.5806	None
AL731566.1	-0.3766	3.6302	None
OPLAH	0.477	-0.3407	None
OBSCN-AS1	0.4761	0.5836	None
MTND5P2	0.8888	1.4429	None
ZNF397	-0.8188	0.5446	None
FDPS	-0.0087	0.0853	None
ZNF281	-0.2127	-0.294	None
AC008993.1	-0.9185	0.7766	None
PLAT	-0.0354	1.1774	None
KNL1	0.1777	0.211	None
USP16	0.1995	-0.6186	None
NR1D1	-0.5495	-1.4781	None
BORCS8-MEF2B	0.8199	2.379	None
FAM50A	0.0105	-0.2454	None
SDR39U1	-0.3564	-0.8369	None
NPRL2	-0.0243	0.1327	None
AL513318.2	-0.3117	0.2475	None
ARL5B	0.0633	-0.5813	None
SMCO3	-2.1526	0.379	None
PTGES3L	-0.475	1.1363	None
PMS2CL	0.246	0.424	None
LINC02133	-1.5078	1.3437	None
AC092617.1	1.2087	0.1916	None
RTN4R	0.2155	0.0417	None
FER1L6	-0.4016	1.2526	None
MIR593	0.8291	0.121	None
ALDH9A1	0.1587	-0.7198	None
KCNK15-AS1	-0.5591	-1.4882	None
EEF1A1P8	0.3696	0.7183	None
MFSD11	0.0074	0.2477	None
APOBEC3H	-0.1604	0.7359	None
ZNF322	-0.7984	-0.1334	None
AP4E1	0.0784	-0.6432	None
EHF	-0.0285	-2.7985	None
EIF5A2	0.2476	-0.5052	None
KPNB1	-0.1538	-0.2477	None
MT-TH	-0.6281	3.0294	None
NDEL1	0.1422	-0.6589	None
AC012065.5	-1.458	-1.6432	None
TMEM168	-0.3587	0.3366	None
TDRD3	-0.3339	-0.0937	None
MRTO4	-0.2574	0.2542	None
APEX1	-0.2245	-0.7328	None
AC084125.2	-0.2103	3.0865	None
KLRG2	0.3474	-2.8437	None
ADRB2	-0.3121	0.1255	None
AC245297.3	0.289	0.2893	None
AC093162.2	-0.2319	1.7506	None
HKDC1	0.5869	-2.8647	None
CHRNA3	0.106	0.3212	None
AL606763.1	-0.5773	-1.6873	None
POLRMTP1	-0.3308	-0.5974	None
KDM4C	0.2478	-0.8474	None
AC106820.1	0.8696	0.8437	None
RPL31P52	0.1217	3.4292	None
FAM229A	0.1231	2.2104	None
AC073842.2	-0.5414	2.5896	None
F2	0.1944	0.9549	None
EMP2	0.1438	0.0046	None
AC004830.1	1.4184	2.1268	None
CRIPT	-0.0787	-0.3484	None
CDKN1C	0.2904	0.2874	None
GRB2	0.2415	-0.7819	None
AC112484.2	0.0772	-0.5683	None
TLE2	0.0811	-0.4067	None
RBBP5	0.0318	-0.9533	None
ZNF547	-0.7638	1.0802	None
GLT8D2	0.23	0.9553	None
IHH	0.3696	1.379	None
SON	0.1477	-0.4498	None
AC092431.2	0.2847	0.3437	None
ERBIN	0.0508	-1.0674	None
ZBTB12	-0.9983	-0.0047	None
AC093591.2	-0.9046	1.9902	None
CCDC97	0.0773	-0.4453	None
AC097372.3	-0.445	1.3437	None
RTF1	0.0727	-0.4187	None
AC005104.1	-0.1386	4.4788	None
FKTN	0.073	-0.0564	None
SYTL1	-0.0663	0.4084	None
ZNF675	-0.1351	-0.241	None
ZNF702P	-0.4523	2.3678	None
MARK2P8	2.5321	0.3102	None
SMG9	-0.4549	0.5303	None
NECAP2	0.0134	-0.5544	None
AC027309.2	-0.3576	1.4633	None
GPR35	-0.397	0.9388	None
TM9SF3	0.1783	-0.1009	None
RALGAPA1	0.0254	0.5345	None
LINC02600	0.1349	0.0865	None
PKMP3	-0.9511	-0.1562	None
PNMA1	-0.0579	-0.5482	None
PLS3-AS1	-0.9666	2.4477	None
DYNC1I2	-0.0337	-0.5191	None
EIF4HP1	0.2938	-3.3245	None
RASSF7	0.1179	-0.1723	None
TATDN2P2	0.0028	0.893	None
AL591379.1	-0.4564	0.4488	None
SEC24D	0.1561	-0.5409	None
RPL15P18	-2.7136	-0.9985	None
CLTA	0.0675	-0.2488	None
AP000925.1	-0.2913	2.0865	None
AL365203.2	0.1367	1.2762	None
AL139156.1	-1.5931	0.1916	None
PRR23D2	0.7847	0.789	None
BMP7	0.1354	-0.681	None
TOMM34	-0.164	-0.3391	None
TBCB	-0.0026	0.1746	None
LINC00051	-0.3731	-2.3933	None
GATD1	-0.2355	1.3077	None
IGSF10	0.0815	1.9903	None
EID2	-0.168	0.8212	None
AL031283.1	0.4251	2.5046	None
BLID	-1.2731	1.9143	None
METTL21A	-0.0453	0.1034	None
MUCL3	0.3696	0.3454	None
STAMBPL1	-0.1756	-0.9894	None
AC004832.6	-3.1376	1.7009	None
AC122683.1	-0.1304	0.7766	None
AC245140.2	0.0436	1.5953	None
ZNF444	-0.0636	0.8088	None
RPS29P17	1.1092	-2.5422	None
TYRO3	0.0747	-0.1421	None
AC105429.2	0.8696	-1.1098	None
AC104771.1	0.5772	0.121	None
EIF2S3	0.0854	-0.7067	None
AC004233.2	-0.3515	2.0399	None
AL591866.1	0.2802	0.379	None
GLUD1P2	-0.3582	0.0865	None
VCL	0.5949	-0.7503	None
DAGLB	0.0577	0.0911	None
OR51J1	-0.8635	2.879	None
RNF214	-0.1351	-0.1515	None
ATG2B	0.0462	1.522	None
PKN2	0.1284	-0.1735	None
CR2	-0.6212	0.0969	None
FRG1-DT	-1.2153	-0.9487	None
CR382285.1	0.9808	-2.1158	None
FRAS1	-0.0613	0.1624	None
PLEKHH1	-0.1043	0.7023	None
AC006252.1	-0.8678	-0.983	None
CUL7	-0.0409	-0.1213	None
CYP4F8	1.1177	2.6511	None
MEN1	-0.1398	-0.2487	None
CERS5	0.2366	0.3002	None
ABHD8	0.1023	-0.3358	None
AC022107.1	-0.9416	-0.4042	None
AC090970.2	-2.0692	1.955	None
LINC01089	-0.56	1.9212	None
WHAMMP2	0.2199	1.2212	None
MGC16275	-0.0484	0.1363	None
FBXO36P1	-1.3468	0.5399	None
AFF3	0.0772	-0.4833	None
BTN3A1	0.0008	0.5615	None
AC007040.2	-0.4879	2.1977	None
AC008443.6	-0.6801	2.9143	None
U47924.3	0.6459	2.7475	None
AC007342.1	0.5772	1.7121	None
NUDT16L1	0.4168	-0.8021	None
LSM7	-0.1578	0.6324	None
NAA38	-0.2283	0.0009	None
SLC25A30-AS1	0.1883	1.1272	None
FGF3	-0.6286	-0.706	None
CRADD	0.2731	-2.208	None
RAB3IL1	0.027	-0.7967	None
TXLNG	0.1611	-0.9001	None
ALG1L12P	0.5993	-1.0393	None
FLJ31104	-1.0426	0.379	None
AL391863.2	-1.8713	0.121	None
THAP6	-0.4938	-0.0529	None
MEX3D	0.1756	-1.252	None
CEP250	0.1454	0.474	None
MTPN	0.1805	-1.0909	None
FBXL19	-0.2527	0.081	None
ACTB	0.0172	0.2114	None
AC136469.2	0.3344	0.5865	None
ENTPD5	-0.004	0.0151	None
NYAP1	0.1759	0.1279	None
AP5S1	-0.1178	0.268	None
ARFGEF2	0.1902	-0.0523	None
NAALADL1	0.042	1.0237	None
OR2H2	0.2119	3.7697	None
LINC02362	0.2997	0.0512	None
AC015813.7	0.6532	-1.3782	None
PITRM1	-0.0395	-0.1739	None
JRKL	-0.6568	0.0918	None
G3BP1	0.2131	0.1253	None
GOLGA8N	0.3604	2.0052	None
AC013472.3	-1.3023	0.879	None
AL121759.1	0.8696	2.1361	None
AL354892.3	0.3222	4.078	None
AC121338.2	0.1951	-0.4466	None
ATG7	0.1416	-0.142	None
SYPL1	0.0916	-0.0181	None
AC025419.1	-0.6812	-2.0456	None
C16orf71	0.299	-1.0201	None
SLC44A3-AS1	-0.0489	0.3887	None
HIST3H2A	-0.1744	-0.6094	None
E2F4	-0.009	0.0556	None
EGFL8	-0.0634	3.3657	None
XRCC5	-0.1889	0.1376	None
AC072052.1	0.4618	1.8939	None
SLC26A2	0.0849	0.3963	None
AL358942.1	0.2076	-0.0019	None
ASAH2	0.0478	-0.6253	None
GAPDHP65	-1.4228	-1.4488	None
TRIQK	0.025	-0.1734	None
SGO1	0.082	0.1096	None
OPRL1	-0.75	0.404	None
PCDHB15	1.5772	-0.6362	None
PAFAH1B2	-0.0084	-0.3469	None
ARSK	-0.1054	0.1474	None
VWA7	0.1315	-0.3381	None
AL592114.1	-1.5078	-0.0534	None
TAGLN2	-0.0212	-0.9873	None
LAMA5	-0.0103	1.7121	None
MRPS14	-0.0119	-0.2188	None
RALY-AS1	-0.2114	0.371	None
GOLGA8R	-0.6545	1.4753	None
ABCC3	0.2016	0.625	None
ENO3	-0.6078	2.4847	None
C11orf1	0.0898	0.4196	None
TTC26	-0.0828	-0.26	None
SRRM2-AS1	-0.1576	0.9644	None
AC006023.2	0.5144	1.7059	None
SMIM25	-0.2396	0.4317	None
NIPBL	0.0405	-0.0018	None
MPRIPP1	1.7381	-0.9833	None
AL365226.1	-2.5035	-0.8437	None
ZDHHC23	-0.3775	0.4585	None
MCRIP2	-0.2677	-0.148	None
AC137767.1	-0.164	1.5525	None
SLC44A2	0.0916	0.0869	None
LIX1L	0.2068	0.1637	None
AL359091.5	0.6759	0.0336	None
TGFA	0.2779	-0.9641	None
LNCAROD	-0.6347	-1.0896	None
FYTTD1	0.1116	-1.2887	None
NMNAT2	0.3284	2.6865	None
SIPA1L3	0.4865	-1.0342	None
ZKSCAN7-AS1	1.0857	0.0512	None
PMF1	0.1036	0.8743	None
VPS9D1-AS1	-0.6603	0.0978	None
EFCAB6	0.1377	1.3581	None
GTF2IP1	0.357	0.6026	None
HNRNPF	-0.1795	-0.5439	None
OTULIN	0.0204	-0.641	None
AL357033.2	-0.5641	-1.4889	None
AOC2	-0.0868	0.8816	None
EZR	0.5715	-0.927	None
AL157392.4	-0.2153	0.294	None
AL135791.1	-0.3468	0.6218	None
VPS26AP1	-0.9673	0.8437	None
COMMD6	-0.2117	-1.6588	None
AL159174.1	1.2786	0.9814	None
LARP4B	-0.046	-0.2284	None
MRPL41	0.0468	-0.0915	None
FTSJ3	-0.1414	-0.119	None
ACTG1P17	-1.534	-0.1898	None
DLG5-AS1	-0.3307	0.9288	None
CNTNAP1	-0.0479	0.5543	None
AC131212.4	0.2571	1.9814	None
AC023389.1	-0.5437	-0.1563	None
AC005020.2	1.0815	-0.6362	None
DOCK3	0.3305	1.3757	None
MALL	-0.4053	-2.0197	None
C1orf210	0.456	-1.7945	None
TTC5	-0.0737	-0.7894	None
OXSM	-0.2185	-0.0412	None
AC092747.4	-0.0865	1.204	None
CDKN2AIPNL	0.0867	0.057	None
ZNF487	0.0182	0.4532	None
B3GAT3	0.0424	0.028	None
XPOT	0.3148	-0.6742	None
AAK1	0.423	-0.6106	None
FAM90A2P	0.1532	3.1513	None
AC105285.1	0.1349	-0.55	None
BPGM	0.1016	-0.4326	None
CDR2L	0.2443	-0.8725	None
AL139095.2	0.1433	-0.6864	None
KISS1R	-0.6233	0.3291	None
AC104365.2	0.9035	0.4382	None
RGMB	0.4341	-0.4428	None
TAF9	0.1503	0.4932	None
AL592293.2	1.0568	1.0167	None
GSTT2	-0.2422	0.8174	None
NPHP4	-0.1645	-0.3491	None
LCMT1-AS2	0.0009	2.6639	None
CCDC160	0.8009	-0.903	None
IMPA1	-0.021	-0.5337	None
MIRLET7BHG	-0.9587	0.9294	None
SKA1	0.1818	0.4287	None
AC026464.5	0.4028	1.3437	None
GRAMD1C	0.3792	-0.3448	None
AL121845.3	-0.0128	2.0029	None
CARMN	0.0115	1.5865	None
DACT3-AS1	-0.4806	2.1017	None
AC004943.3	-0.8265	0.4662	None
SNORA80D	0.2847	2.3437	None
TNFRSF12A	-0.0998	-0.3771	None
SERPINB9	0.1156	-0.9161	None
NSUN5P1	-0.2882	2.1464	None
AC034102.3	0.046	-1.5329	None
NUTM2G	0.0272	2.8815	None
HNRNPA1P35	0.3182	1.0865	None
AC104472.1	-0.0838	2.121	None
AC239584.1	-0.1652	-0.5753	None
CIDEC	0.0772	1.0167	None
UBQLN2	-0.129	-0.5783	None
AC105036.3	-0.5897	-1.3782	None
SENP3-EIF4A1	-0.1304	1.213	None
TCERG1	-0.087	0.5225	None
BMS1P10	-0.144	-0.7709	None
AL117339.4	-0.9367	2.2769	None
HARS2	-0.0355	-0.0058	None
RNU4-1	1.4101	-0.1151	None
FAM98C	0.151	0.2147	None
SVIL-AS1	0.2403	-0.8172	None
GLUD1P8	-0.6705	2.7292	None
AMOTL2	0.2338	-1.8203	None
ZNF888	-0.0714	0.4068	None
LRIG2	-0.0372	1.1288	None
TPRX2P	1.7693	1.7766	None
TROVE2	0.0155	-0.8555	None
AP000302.1	0.8248	0.5512	None
TMEM86B	0.1806	1.7327	None
AC005332.5	0.0672	2.0972	None
RTEL1-TNFRSF6B	-0.4114	2.3663	None
TF	-0.2085	3.1982	None
TPST1	0.3429	-0.7074	None
SLC6A6	0.5832	0.5726	None
MASTL	-0.1328	0.3629	None
MRPS28	0.0023	-0.3639	None
ENGASE	-0.1484	1.3458	None
MEMO1P1	-0.4187	-0.6953	None
AC126564.1	0.1532	1.2827	None
SRM	-0.3414	-0.1093	None
TOLLIP	-0.0092	-0.6619	None
RPS6KA4	0.0868	-0.3644	None
AC008735.4	-0.6101	0.5788	None
TEKT2	0.7381	1.5136	None
SEPSECS	-0.4642	0.4824	None
AC016924.1	0.7953	-0.7157	None
SLC18A2	0.936	1.4902	None
LINC00899	-0.3763	1.8324	None
ITFG2	-0.259	1.1769	None
AC009948.3	0.2381	2.0806	None
AC012186.2	0.9808	0.9143	None
ADSL	-0.4373	0.4948	None
AL162274.3	1.6793	-0.4488	None
LINC01480	0.0323	-0.464	None
KCNE2	-0.378	-0.0519	None
PPP5D1	-0.8763	0.3863	None
FAM168A	0.2008	0.038	None
BAG1	0.0917	-0.4178	None
TFB1M	-0.0973	0.0688	None
ZKSCAN4	-0.0734	0.1623	None
RN7SKP16	-0.4001	0.7121	None
FEN1	-0.4152	0.8179	None
TAF6L	-0.1958	0.4959	None
AL359878.2	0.966	1.1563	None
CACNA1F	0.4808	0.052	None
AC009107.2	-0.8966	2.7199	None
TTC36	1.1754	-0.121	None
OXTR	-0.4069	1.574	None
AL162430.2	-0.2153	-0.4985	None
NOP16	-0.3538	0.576	None
AC093323.1	-0.1809	0.069	None
CYB561A3	-0.2807	-0.4113	None
HTR1D	0.2178	0.4665	None
AC011287.1	2.4274	0.2587	None
LYNX1	-0.274	0.2377	None
LINC01431	0.5899	0.6217	None
ALS2	0.1383	-0.6245	None
PBX3	0.2046	-0.651	None
SLCO5A1	-0.0488	-1.3739	None
AL359265.1	1.6976	-0.8782	None
IFI27L2	0.1463	0.4526	None
TRMT11	-0.4417	1.1234	None
RNU6-1098P	0.3696	-0.0186	None
MATN4	1.6068	0.6758	None
CCDC106	0.5154	1.0819	None
AL022318.1	0.4211	-0.206	None
PACSIN3	0.1439	0.4776	None
MIR659	0.2829	1.0512	None
AC093503.1	0.5772	0.6218	None
ZNF155	-0.3877	1.6014	None
HNRNPLL	-0.1544	-0.455	None
ARRDC5	1.1621	-1.6443	None
MYOZ3	-0.2731	-1.4781	None
SCRG1	-0.0078	1.7766	None
AL139260.1	-0.9228	0.9953	None
TGIF1	-0.6946	0.707	None
CLDN6	-0.2871	-1.4905	None
TANC1	0.1581	0.2039	None
CNGA1	0.2774	-1.1448	None
MTCO3P43	0.8746	4.0255	None
FP565171.1	-2.2913	-0.0745	None
GPM6B	-0.6172	3.384	None
CALHM5	-0.1028	0.8977	None
SNORD46	-0.6926	1.1715	None
DCST2	0.017	2.4373	None
THAP9-AS1	-0.2775	0.0183	None
SORBS1	0.37	-0.2236	None
VIRMA	0.0689	-0.1553	None
AC090826.2	0.5772	0.0512	None
LMCD1-AS1	0.5721	-0.907	None
ALG13-AS1	-0.8827	3.9617	None
GDI2	0.0007	-0.7788	None
AC008514.2	1.2733	1.1442	None
SERPINB5	-0.0141	-0.7117	None
CLRN3	1.9918	0.1218	None
CCT8P1	-0.0094	0.6751	None
HLA-DQA2	1.0366	0.7475	None
YWHAQ	0.1499	-0.6077	None
LINC01537	0.7381	0.5101	None
ADH5	0.0165	0.1767	None
AL032819.2	-0.3379	0.6361	None
PLAU	0.3341	-1.0071	None
C9orf24	-0.4381	0.9639	None
MAT2B	0.0096	-0.5686	None
MEMO1	-0.0347	-1.071	None
AC007382.1	0.4324	0.5425	None
TMEM184B	0.2675	-0.8413	None
ABCA5	-0.0016	0.9802	None
GNPDA1	0.0076	-0.3503	None
ZFPM2	-0.1262	0.5262	None
NLRP3	-1.1286	0.4266	None
FOLR1	-0.1417	-0.4412	None
AC015853.1	-0.4228	0.121	None
F7	0.6621	3.121	None
AC002525.1	1.2847	-0.8172	None
AC009318.1	-0.6609	0.194	None
FAM9B	0.4506	0.3638	None
AC026367.3	0.2499	2.6093	None
CARMIL1	0.0392	-0.4072	None
FLII	0.2696	-0.3245	None
ROCK2	0.2312	-0.2235	None
AL139353.1	-0.3318	2.8594	None
SAMD14	0.1911	-0.4251	None
FBLN7	-0.4666	1.874	None
AC021087.1	-0.0544	0.879	None
C5orf63	-0.4374	0.7074	None
AC090510.2	0.6912	4.4771	None
XPR1	0.3789	-0.806	None
OSGEPL1-AS1	-0.3816	1.2475	None
CD58	0.2597	0.2573	None
AC005104.2	0.0815	0.052	None
FAM198B	-0.0874	0.3923	None
LAMC3	-0.0271	-0.3941	None
AL445493.2	-0.7523	2.6563	None
MBNL1	0.0932	0.7488	None
DSCC1	-0.2805	-0.2985	None
RPL3L	-0.1526	0.0268	None
AC092118.1	-0.4673	1.6563	None
AC005041.1	-1.0078	-0.6563	None
AC108134.2	0.0496	0.5699	None
AC008700.1	-1.5931	-1.8084	None
AL442128.2	-1.2638	-0.4135	None
FLJ46284	-1.9666	2.1715	None
EDC4	0.1394	-0.8187	None
ATP2C1	0.0015	0.4267	None
CEP170B	0.2403	-0.3124	None
PARL	-0.1497	1.001	None
C1orf159	0.0196	1.598	None
ZSWIM7	-0.0981	0.077	None
AL139156.2	2.7733	1.1897	None
AC025678.3	0.6304	1.3209	None
CLINT1	-0.0471	-0.5328	None
MRPL23	0.1555	0.9289	None
AC010197.1	1.8802	-2.2699	None
GAMT	-0.2191	-0.0393	None
LINC01460	0.466	2.8594	None
POLA2	-0.6607	2.1866	None
PDE4C	-0.6275	0.9902	None
MTERF1	0.1148	0.3454	None
ADAD2	-0.9185	1.052	None
ANKRD53	-0.8554	1.7675	None
AC012442.1	-0.5838	2.379	None
HFE	0.2205	0.5579	None
AKAP6	-0.1342	-1.0989	None
STPG3	-0.4523	3.6933	None
AL121594.1	0.5772	2.1218	None
AC120114.1	-0.3946	-0.315	None
AC024075.2	0.3073	2.1155	None
WBP2NL	0.5366	0.3437	None
PNMA3	0.9918	1.1916	None
RPS3AP26	-0.1708	-0.1452	None
NFKB2	0.3141	-0.2042	None
AP002990.1	-0.236	0.5079	None
AGTPBP1	0.0472	-0.1464	None
ATF1	-0.1848	-0.6121	None
NOL8	-0.0815	0.327	None
WASIR2	-0.7445	-0.422	None
SPEG	0.0119	1.5064	None
NVL	-0.1812	-0.4928	None
APOBEC3G	-0.7737	2.4066	None
NDUFAF7	-0.1391	0.8151	None
AC092338.2	0.6937	1.2828	None
AC004951.4	0.5237	2.638	None
IL17RD	0.324	0.0178	None
PSMG2	-0.016	0.523	None
DBF4P1	-0.3196	0.379	None
KIAA0513	0.3639	-1.1589	None
LDHD	0.0458	-1.0691	None
ADGRF5P1	-0.4228	0.879	None
AL353807.2	0.7995	-0.1563	None
AP003486.1	-0.1922	0.9461	None
MVB12B	0.0225	-0.7414	None
TUBA3FP	-0.7153	1.7121	None
KCNAB3	-0.0767	2.6477	None
PDPR	0.1287	0.4038	None
HMGN2P41	1.9808	0.379	None
ZNF214	-0.9726	1.7475	None
ZBTB49	-0.1829	-0.2874	None
ZNF250	-0.2743	-0.2336	None
GTF2A2	0.2281	-0.3539	None
RNU1-138P	-0.3823	-1.2909	None
LINC01058	0.8696	0.0865	None
DNAJC21	0.0698	-0.375	None
HMGB3P14	1.4954	0.5865	None
EEF1AKMT3	-0.1556	0.5811	None
BMS1P4	-0.0622	4.1977	None
KRT43P	-1.2888	1.879	None
AC233723.1	1.0306	1.021	None
SLC3A1	0.4324	1.5399	None
AC012441.2	-1.458	-0.1563	None
ZNF747	-0.0221	0.3801	None
APLN	-0.3265	-1.2354	None
GBP2	-0.6217	-0.8442	None
AF117829.2	-0.378	0.121	None
AC106820.6	0.9231	-1.5948	None
RNU6-190P	0.1434	3.0753	None
SUGP1	0.1031	-0.0093	None
CEP78	-0.2091	0.3283	None
ARHGAP32	-0.0169	0.0981	None
AHSA2P	-0.269	3.6048	None
RNU6ATAC18P	1.5772	-1.464	None
NIPAL2	-0.7419	-0.3066	None
LINC01119	-0.5208	0.2412	None
AC011944.1	-0.9228	-1.7474	None
ATAD3A	-0.137	-0.4114	None
MROH3P	0.2664	-1.1707	None
CDC37P2	0.7826	1.4027	None
AL357033.4	-0.2783	-2.9388	None
PCCA-AS1	-0.0838	0.3518	None
LPIN2	0.6466	-0.9625	None
TEX19	-0.6577	-1.0303	None
TP53RK	-0.106	-0.8942	None
SNORA5C	-0.1656	1.6442	None
RN7SL441P	1.6066	0.121	None
FOXH1	0.1536	2.4807	None
ZNF324B	-0.5344	-0.9442	None
RHPN2	0.3036	-0.7183	None
SMARCA1	-0.0027	0.3657	None
RPL7P23	0.0094	-0.2236	None
DCUN1D2-AS	-0.1968	2.6279	None
ZNRF2	0.1476	-0.1278	None
JARID2-AS1	-0.8265	1.8579	None
JAG2	-0.0155	0.2593	None
CXXC1	0.2135	0.1223	None
NUDCD2	0.0826	0.1728	None
DAND5	-0.8265	-0.9833	None
SEPT10P1	-0.7602	-1.3052	None
LIFR	0.4318	0.0494	None
AL139099.2	-1.2602	3.0255	None
WASHC3	-0.1678	0.9116	None
COG5	0.1578	-1.373	None
ZDBF2	-0.1937	1.4071	None
HACL1	0.5991	-0.2913	None
SMTN	0.5088	0.2228	None
AC009802.1	-0.3025	1.3968	None
AL139095.5	-0.7153	0.5167	None
PRKCQ	0.3408	0.3758	None
MAGI2	-0.0192	-1.4407	None
INE1	-0.3395	3.1041	None
HIST2H2AC	-1.5686	1.1363	None
PPP3CC	-0.2083	-1.0487	None
KCTD9P4	0.9456	0.7475	None
KIAA0895L	-0.4797	1.6855	None
C17orf75	-0.1245	-0.1464	None
NID2	1.0481	1.879	None
RF00096	-1.2913	2.3033	None
RPL37AP1	0.1503	-0.6717	None
MECP2	-0.0434	0.0139	None
SCAMP1-AS1	0.0034	0.1303	None
MYLPF	-0.4523	0.9953	None
NSUN2	-0.2836	-0.305	None
MTRNR2L3	-0.6304	0.0512	None
AC245884.8	-1.6416	2.4438	None
RDM1	0.5094	0.4324	None
NTS	0.6621	1.7143	None
CRACR2A	0.0154	-0.2891	None
INSIG1	0.3121	-0.1421	None
C7orf31	-0.8723	0.1718	None
AL391650.1	-0.1284	1.3162	None
GNAI2	0.2102	-0.3075	None
SART1	0.23	0.2013	None
AC021851.1	-0.9627	1.1743	None
GOLM1	0.2962	-0.5287	None
CD70	0.0674	0.5601	None
WFDC3	0.8113	0.1592	None
PRPF31	-0.0786	0.6403	None
AC110285.3	-1.5078	1.9136	None
CCDC102B	-1.0676	-0.8216	None
TOR3A	-0.0098	-0.1194	None
USP53	0.3111	-0.5213	None
AL592148.3	-0.1009	2.2327	None
IGHE	-2.0078	-1.9985	None
AL049552.1	-0.3805	3.0991	None
AC015726.1	0.5321	3.0092	None
AC006449.2	-0.3155	0.0085	None
SRSF5	0.0681	0.5841	None
CYP2F1	-1.2153	1.7828	None
UNC119	0.1666	0.5671	None
HMG20A	0.1334	-0.5416	None
ADPRM	0.0972	-0.34	None
KLC4	0.0197	0.0259	None
AADAT	-0.3414	1.3367	None
LRP11	0.1155	-0.0949	None
MIR6747	-1.4118	0.0865	None
TMEM150A	-0.212	-0.0993	None
AC145285.6	-0.2369	-0.225	None
AC010320.2	1.1621	-0.0857	None
AC020917.3	-0.8823	-1.3782	None
CES4A	-0.9228	0.6978	None
HSPA12A	0.0549	0.1205	None
ENY2	-0.1229	0.9233	None
AC087477.2	0.6621	5.5849	None
AC009237.15	0.6269	1.7766	None
AC018553.1	-0.7913	3.2475	None
GHRL	-0.6468	2.1715	None
PSMG1	-0.0901	0.2495	None
SLC7A6OS	-0.1631	-1.0974	None
B3GNT4	-0.1829	0.4354	None
COMMD1	0.294	0.5067	None
BEST4	-0.214	1.455	None
AC068473.5	-0.9314	-0.0914	None
WAC	0.1027	-0.8195	None
AP2A2	-0.0794	-0.9975	None
