umap_1	umap_2	Celltype	Timepoint	Condition
-1.0841	-3.8374	Microglia	T1	Obesity
0.2934	-3.7357	Microglia	T1	Control
0.07	-3.6314	Microglia	T0	Control
-0.2832	-3.3668	Microglia	T2	Obesity
-0.391	-4.2892	Microglia	T1	Control
-1.5588	-3.7447	Microglia	T0	Obesity
-0.7891	-3.6016	Microglia	T1	Obesity
-0.4386	-3.7442	Microglia	T0	Control
-0.8612	-3.3696	Microglia	T0	Obesity
-1.2397	-2.4762	Microglia	T2	Obesity
-0.9156	-3.6419	Microglia	T1	Obesity
-0.4679	-3.6358	Microglia	T1	Obesity
0.2866	-3.404	Microglia	T1	Obesity
-1.3038	-4.6873	Microglia	T0	Control
-0.6262	-4.1222	Microglia	T1	Obesity
0.0175	-4.029	Microglia	T0	Obesity
-0.9374	-3.7856	Microglia	T0	Obesity
0.3333	-3.3572	Microglia	T0	Obesity
-0.839	-3.5311	Microglia	T0	Control
-1.1117	-4.6444	Microglia	T1	Obesity
-0.2833	-3.3842	Microglia	T1	Obesity
-0.8024	-3.6155	Microglia	T1	Control
-0.3088	-3.3084	Microglia	T1	Control
-1.4236	-3.5987	Microglia	T1	Obesity
0.1566	-3.4309	Microglia	T1	Control
-1.4448	-2.9364	Microglia	T0	Obesity
0.8014	-3.7872	Microglia	T0	Obesity
-0.6675	-4.0123	Microglia	T1	Obesity
-0.617	-4.216	Microglia	T0	Obesity
-0.6624	-3.6883	Microglia	T0	Obesity
-0.1844	-4.6533	Microglia	T2	Control
-0.0996	-3.9295	Microglia	T0	Obesity
-0.4102	-3.8386	Microglia	T1	Obesity
-0.5894	-3.9701	Microglia	T1	Control
-1.2537	-4.0406	Microglia	T0	Obesity
0.1218	-4.1471	Microglia	T2	Obesity
0.1382	-4.2151	Microglia	T0	Control
0.0322	-4.2503	Microglia	T1	Obesity
-0.22	-3.2411	Microglia	T0	Control
0.2308	-3.9311	Microglia	T2	Control
-0.4726	-3.0376	Microglia	T1	Control
-0.5787	-3.3265	Microglia	T1	Obesity
-0.8019	-4.4818	Microglia	T2	Obesity
-0.6658	-3.7308	Microglia	T0	Control
-0.5444	-3.8917	Microglia	T0	Control
-0.661	-3.458	Microglia	T1	Control
0.1772	-4.0777	Microglia	T1	Obesity
-0.3702	-4.3979	Microglia	T0	Obesity
0.2105	-4.6221	Microglia	T0	Obesity
-0.3955	-3.8331	Microglia	T0	Control
-1.0291	-3.1895	Microglia	T0	Control
-0.7721	-3.1655	Microglia	T2	Obesity
-1.5771	-4.1932	Microglia	T0	Obesity
-0.3336	-4.1101	Microglia	T0	Control
-0.4642	-4.1345	Microglia	T2	Obesity
-1.3584	-4.1858	Microglia	T2	Obesity
-0.5099	-3.2494	Microglia	T1	Control
-1.3034	-4.0429	Microglia	T1	Obesity
4.074	-1.3926	Oligodendrocytes	T0	Control
4.4542	-2.9194	Oligodendrocytes	T2	Control
4.087	-2.0764	Oligodendrocytes	T0	Control
4.4808	-1.792	Oligodendrocytes	T0	Control
4.4274	-3.1664	Oligodendrocytes	T1	Obesity
4.4239	-1.5184	Oligodendrocytes	T2	Obesity
4.712	-2.2242	Oligodendrocytes	T2	Control
3.9306	-1.9493	Oligodendrocytes	T0	Obesity
3.7222	-2.2344	Oligodendrocytes	T1	Obesity
4.5976	-1.7288	Oligodendrocytes	T2	Control
4.3232	-2.9279	Oligodendrocytes	T0	Control
3.5458	-1.1692	Oligodendrocytes	T2	Control
4.0656	-2.7807	Oligodendrocytes	T2	Control
3.1236	-1.8919	Oligodendrocytes	T2	Obesity
3.9929	-2.5573	Oligodendrocytes	T2	Control
3.4816	-3.2305	Oligodendrocytes	T1	Control
4.3971	-1.8879	Oligodendrocytes	T2	Control
3.3092	-1.9814	Oligodendrocytes	T0	Control
4.6984	-1.5279	Oligodendrocytes	T1	Control
3.2571	-1.8585	Oligodendrocytes	T1	Control
4.0825	-2.4204	Oligodendrocytes	T2	Control
4.4371	-2.0182	Oligodendrocytes	T1	Obesity
4.2376	-2.9926	Oligodendrocytes	T0	Control
4.189	-2.0788	Oligodendrocytes	T2	Control
4.2129	-2.0686	Oligodendrocytes	T1	Control
3.5666	-2.2104	Oligodendrocytes	T1	Control
3.6493	-1.8604	Oligodendrocytes	T1	Control
4.7229	-2.8677	Oligodendrocytes	T0	Control
5.3509	-2.6741	Oligodendrocytes	T1	Control
3.5171	-1.9375	Oligodendrocytes	T0	Obesity
3.3934	-1.6871	Oligodendrocytes	T2	Control
4.1991	-2.1238	Oligodendrocytes	T2	Control
3.6222	-2.2022	Oligodendrocytes	T1	Control
4.3175	-2.3038	Oligodendrocytes	T0	Control
3.7059	-2.7488	Oligodendrocytes	T2	Control
4.0009	-2.3153	Oligodendrocytes	T2	Obesity
4.3608	-1.6869	Oligodendrocytes	T2	Control
5.0206	-1.7851	Oligodendrocytes	T1	Control
3.537	-1.9591	Oligodendrocytes	T2	Obesity
5.0901	-1.7591	Oligodendrocytes	T0	Control
3.7928	-3.0471	Oligodendrocytes	T0	Control
3.9796	-1.8521	Oligodendrocytes	T1	Obesity
4.9687	-2.2716	Oligodendrocytes	T0	Control
3.8912	-2.6708	Oligodendrocytes	T0	Control
3.442	-1.9536	Oligodendrocytes	T2	Control
4.8385	-1.6868	Oligodendrocytes	T0	Obesity
4.2556	-2.5089	Oligodendrocytes	T2	Obesity
4.7871	-1.4603	Oligodendrocytes	T1	Control
4.3044	-2.2598	Oligodendrocytes	T0	Obesity
3.9494	-2.7949	Oligodendrocytes	T2	Obesity
3.8462	-1.9798	Oligodendrocytes	T1	Control
4.9656	-1.8888	Oligodendrocytes	T2	Control
5.1406	-1.9937	Oligodendrocytes	T1	Control
3.471	-2.0002	Oligodendrocytes	T2	Obesity
4.4848	-2.3164	Oligodendrocytes	T2	Control
4.318	-2.0177	Oligodendrocytes	T1	Obesity
4.1328	-2.4392	Oligodendrocytes	T0	Control
3.449	-1.7334	Oligodendrocytes	T1	Control
2.9223	-2.232	Oligodendrocytes	T2	Obesity
3.9527	-1.6159	Oligodendrocytes	T1	Control
3.4485	-2.2467	Oligodendrocytes	T0	Control
3.2839	-1.6227	Oligodendrocytes	T1	Control
3.9212	-2.6612	Oligodendrocytes	T1	Control
4.005	-2.5721	Oligodendrocytes	T1	Obesity
4.0038	-2.632	Oligodendrocytes	T2	Control
4.1877	-1.2243	Oligodendrocytes	T1	Control
4.0871	-2.166	Oligodendrocytes	T1	Control
4.0161	-1.5254	Oligodendrocytes	T1	Control
3.2952	-2.673	Oligodendrocytes	T1	Obesity
4.7746	-2.1085	Oligodendrocytes	T1	Obesity
2.9852	-2.3718	Oligodendrocytes	T2	Obesity
4.1344	-2.2467	Oligodendrocytes	T1	Obesity
5.103	-3.5825	Oligodendrocytes	T0	Control
4.3106	-1.4011	Oligodendrocytes	T1	Obesity
3.988	-1.7672	Oligodendrocytes	T2	Obesity
4.6713	-2.7573	Oligodendrocytes	T0	Control
4.4521	-2.9141	Oligodendrocytes	T2	Control
3.9493	-1.5675	Oligodendrocytes	T0	Control
4.0876	-2.8892	Oligodendrocytes	T1	Control
4.6496	-2.5453	Oligodendrocytes	T0	Obesity
4.208	-2.0148	Oligodendrocytes	T1	Control
4.476	-2.3762	Oligodendrocytes	T1	Obesity
4.1865	-2.7883	Oligodendrocytes	T1	Control
4.3037	-3.1308	Oligodendrocytes	T1	Control
3.8969	-2.3308	Oligodendrocytes	T1	Control
4.0661	-1.1903	Oligodendrocytes	T1	Control
3.9773	-2.3875	Oligodendrocytes	T0	Obesity
3.9098	-1.8787	Oligodendrocytes	T2	Obesity
4.2504	-2.4532	Oligodendrocytes	T2	Obesity
4.4054	-2.2542	Oligodendrocytes	T1	Control
3.6423	-2.7925	Oligodendrocytes	T0	Control
4.4617	-1.8279	Oligodendrocytes	T0	Control
3.2491	-2.1892	Oligodendrocytes	T1	Obesity
3.123	-1.6994	Oligodendrocytes	T2	Control
3.5019	-2.0639	Oligodendrocytes	T2	Control
2.9153	-2.3104	Oligodendrocytes	T2	Control
3.0083	-2.8565	Oligodendrocytes	T1	Control
4.5202	-2.8176	Oligodendrocytes	T1	Obesity
4.8974	-1.8361	Oligodendrocytes	T2	Obesity
4.099	-1.6151	Oligodendrocytes	T0	Control
4.1434	-2.4105	Oligodendrocytes	T1	Control
4.3115	-1.8575	Oligodendrocytes	T1	Obesity
4.4254	-1.2709	Oligodendrocytes	T2	Obesity
4.9803	-2.7095	Oligodendrocytes	T1	Control
3.5907	-2.3219	Oligodendrocytes	T1	Control
3.6373	-1.5379	Oligodendrocytes	T2	Control
3.7899	-1.7572	Oligodendrocytes	T2	Obesity
4.3654	-1.994	Oligodendrocytes	T1	Control
3.9398	-3.1998	Oligodendrocytes	T2	Obesity
3.8353	-2.2875	Oligodendrocytes	T2	Obesity
3.2276	-2.1569	Oligodendrocytes	T0	Control
4.3221	-2.7956	Oligodendrocytes	T1	Obesity
3.9187	-1.9034	Oligodendrocytes	T2	Control
4.2995	-1.385	Oligodendrocytes	T2	Obesity
4.4103	-2.0193	Oligodendrocytes	T2	Control
4.0736	-2.1113	Oligodendrocytes	T0	Control
2.38	-1.937	Oligodendrocytes	T0	Control
4.2812	-2.0212	Oligodendrocytes	T0	Control
4.274	-1.6381	Oligodendrocytes	T2	Control
4.5715	-1.9746	Oligodendrocytes	T2	Control
3.5779	-2.0882	Oligodendrocytes	T2	Control
3.5853	-2.1644	Oligodendrocytes	T2	Control
4.0692	-2.3724	Oligodendrocytes	T0	Obesity
4.1886	-1.778	Oligodendrocytes	T2	Control
4.7506	-2.2996	Oligodendrocytes	T2	Obesity
3.0335	-2.7227	Oligodendrocytes	T2	Control
3.8829	-2.5247	Oligodendrocytes	T1	Control
2.8865	-3.4394	Oligodendrocytes	T0	Control
4.1254	-2.1424	Oligodendrocytes	T2	Control
4.1329	-3.1215	Oligodendrocytes	T0	Obesity
4.7462	-1.7758	Oligodendrocytes	T0	Control
3.3275	-2.2166	Oligodendrocytes	T1	Control
3.7687	-2.7598	Oligodendrocytes	T0	Control
4.3499	-2.9066	Oligodendrocytes	T1	Control
4.187	-2.2148	Oligodendrocytes	T2	Obesity
3.8097	-1.5665	Oligodendrocytes	T2	Obesity
4.1921	-2.6424	Oligodendrocytes	T2	Obesity
4.014	-2.1174	Oligodendrocytes	T0	Control
3.7773	-2.2726	Oligodendrocytes	T0	Control
3.5988	-2.1341	Oligodendrocytes	T1	Control
4.0379	-3.3372	Oligodendrocytes	T1	Control
3.7353	-1.6342	Oligodendrocytes	T2	Control
4.6977	-2.0268	Oligodendrocytes	T0	Obesity
3.8456	-3.2698	Oligodendrocytes	T0	Control
4.7372	-2.5686	Oligodendrocytes	T1	Obesity
4.7113	-2.308	Oligodendrocytes	T1	Obesity
2.729	-1.8973	Oligodendrocytes	T0	Control
5.0436	-2.8789	Oligodendrocytes	T0	Control
3.396	-2.283	Oligodendrocytes	T2	Control
2.5649	-2.6936	Oligodendrocytes	T0	Control
-3.288	-1.89	Endothelial	T0	Control
-3.4174	-1.9649	Endothelial	T0	Control
-2.4457	-1.6416	Endothelial	T1	Obesity
-4.2739	-1.1186	Endothelial	T0	Obesity
-3.531	-2.0504	Endothelial	T0	Obesity
-4.0199	-1.5571	Endothelial	T1	Obesity
-3.6648	-1.6198	Endothelial	T1	Obesity
-2.8857	-0.938	Endothelial	T2	Obesity
-3.037	-0.982	Endothelial	T0	Obesity
-2.4899	-1.8008	Endothelial	T1	Control
-2.9771	-1.8655	Endothelial	T2	Control
-3.7857	-2.714	Endothelial	T2	Control
-2.3906	-2.4654	Endothelial	T2	Control
-3.8973	-1.7788	Endothelial	T0	Obesity
-2.6929	-1.6405	Endothelial	T0	Obesity
-3.789	-1.6873	Endothelial	T1	Obesity
-3.4725	-1.5548	Endothelial	T2	Obesity
-2.8273	-1.8215	Endothelial	T1	Obesity
-2.6647	-1.1085	Endothelial	T2	Control
-3.596	-1.2925	Endothelial	T2	Control
-2.9845	-2.0906	Endothelial	T1	Obesity
-3.1614	-1.2755	Endothelial	T0	Control
-4.499	-1.5302	Endothelial	T1	Obesity
-3.232	-0.997	Endothelial	T2	Control
-2.6461	-2.4582	Endothelial	T1	Obesity
-3.3237	-1.6368	Endothelial	T1	Obesity
-3.9094	-1.5867	Endothelial	T1	Control
-3.2048	-0.7137	Endothelial	T1	Control
-3.7626	-0.6645	Endothelial	T2	Control
-2.4392	-1.6093	Endothelial	T0	Obesity
-3.4529	-1.1826	Endothelial	T1	Control
-2.8789	-1.3992	Endothelial	T1	Control
-3.1621	-1.6246	Endothelial	T2	Obesity
-2.7119	-0.9851	Endothelial	T2	Obesity
-3.2376	-1.42	Endothelial	T1	Control
-2.4814	-1.9752	Endothelial	T1	Control
-3.1284	-1.0517	Endothelial	T2	Control
-3.3078	-1.0261	Endothelial	T2	Control
-2.9681	-1.9343	Endothelial	T2	Control
-2.6056	-1.6299	Endothelial	T0	Obesity
-3.7634	-0.993	Endothelial	T1	Obesity
-3.5395	-1.6245	Endothelial	T0	Obesity
-3.012	-1.9618	Endothelial	T0	Obesity
-4.0856	-0.9422	Endothelial	T2	Control
-3.1317	-1.6575	Endothelial	T0	Control
-2.3719	-1.6466	Endothelial	T2	Control
-3.7222	-0.3237	Endothelial	T2	Control
-3.2445	-1.1176	Endothelial	T0	Obesity
-2.9158	-1.2865	Endothelial	T1	Obesity
-3.7001	-1.1364	Endothelial	T2	Obesity
-2.2101	-2.1983	Endothelial	T1	Control
-3.2296	-1.2989	Endothelial	T0	Control
-2.6723	-0.8726	Endothelial	T1	Control
-3.6126	-1.4258	Endothelial	T1	Control
-3.4011	-0.8396	Endothelial	T2	Obesity
-3.6345	-1.7882	Endothelial	T2	Control
-3.4375	-1.1598	Endothelial	T0	Obesity
-4.0356	-0.9352	Endothelial	T2	Obesity
-2.8707	-1.8433	Endothelial	T2	Control
-4.7398	-1.7143	Endothelial	T2	Obesity
-3.7503	-2.048	Endothelial	T1	Obesity
-2.662	-1.2706	Endothelial	T2	Obesity
-3.6912	-1.5313	Endothelial	T2	Control
-2.8722	-1.6336	Endothelial	T2	Obesity
-4.2119	-1.416	Endothelial	T1	Control
-4.0399	-0.9233	Endothelial	T2	Obesity
-2.8571	-1.8812	Endothelial	T1	Obesity
-4.5257	-1.367	Endothelial	T2	Obesity
-3.3436	-1.7523	Endothelial	T2	Control
-2.5386	-2.0483	Endothelial	T2	Control
-4.3024	-1.9773	Endothelial	T1	Obesity
-2.49	-1.4662	Endothelial	T0	Obesity
-2.7307	-1.5086	Endothelial	T2	Obesity
-2.1998	-2.5141	Endothelial	T0	Control
-2.7751	-1.6175	Endothelial	T2	Obesity
-3.3142	-1.4317	Endothelial	T1	Obesity
-3.7101	-1.3958	Endothelial	T2	Obesity
-3.909	-1.134	Endothelial	T2	Control
-3.5407	-1.1926	Endothelial	T0	Control
-2.9702	-0.7415	Endothelial	T2	Control
-2.057	-1.3529	Endothelial	T1	Obesity
-3.535	-2.4407	Endothelial	T2	Control
-3.7468	-0.7102	Endothelial	T1	Obesity
-2.5846	-0.9263	Endothelial	T2	Obesity
-2.6319	-2.7919	Endothelial	T0	Control
-2.7762	-1.2864	Endothelial	T0	Control
-2.8047	-1.8668	Endothelial	T2	Obesity
-2.7045	-1.4176	Endothelial	T2	Obesity
-4.1791	-1.566	Endothelial	T1	Obesity
-4.0988	-1.7234	Endothelial	T2	Obesity
-3.7766	-0.9857	Endothelial	T0	Obesity
-2.4617	-1.8841	Endothelial	T2	Control
-2.9681	-1.4577	Endothelial	T2	Control
-2.763	-1.3722	Endothelial	T2	Obesity
-3.3135	-1.4572	Endothelial	T2	Control
-3.0227	-1.8322	Endothelial	T1	Obesity
-3.671	-1.5469	Endothelial	T2	Obesity
-3.3341	-0.7554	Endothelial	T2	Control
-2.353	-1.9883	Endothelial	T1	Obesity
-2.265	-2.4043	Endothelial	T2	Control
-2.8007	-0.7952	Endothelial	T2	Control
-2.8542	-2.2179	Endothelial	T2	Control
-3.8353	-1.6882	Endothelial	T2	Obesity
-3.68	-1.6195	Endothelial	T1	Control
-3.2794	-1.5182	Endothelial	T0	Control
-2.7941	-1.8512	Endothelial	T1	Control
-3.4773	-2.4686	Endothelial	T2	Obesity
-2.7546	-1.0662	Endothelial	T2	Control
-2.4921	-1.424	Endothelial	T1	Obesity
-3.509	-1.1668	Endothelial	T0	Control
-2.973	-1.4991	Endothelial	T0	Control
-2.5484	-1.3954	Endothelial	T0	Obesity
-1.8372	-1.3262	Endothelial	T1	Control
-2.5651	-2.1045	Endothelial	T0	Control
-2.9632	-1.6145	Endothelial	T2	Obesity
-3.0178	-1.4044	Endothelial	T0	Control
-2.6305	-1.5457	Endothelial	T2	Control
-2.6284	-2.2564	Endothelial	T1	Control
-3.3524	-1.449	Endothelial	T2	Obesity
-3.2474	-1.3567	Endothelial	T1	Control
1.0126	4.4488	Tanycytes	T1	Obesity
2.2987	4.0499	Tanycytes	T2	Obesity
-0.3673	3.8082	Tanycytes	T2	Obesity
1.0618	5.6578	Tanycytes	T0	Obesity
1.1977	4.1008	Tanycytes	T2	Control
1.1762	4.0662	Tanycytes	T0	Obesity
1.4884	3.9064	Tanycytes	T2	Control
1.8838	4.5125	Tanycytes	T1	Control
1.4183	3.4023	Tanycytes	T1	Obesity
0.7711	4.0056	Tanycytes	T2	Obesity
1.2296	4.1596	Tanycytes	T2	Control
1.6571	3.999	Tanycytes	T1	Obesity
0.6896	4.7897	Tanycytes	T1	Control
0.9932	3.1099	Tanycytes	T2	Obesity
2.0748	3.6405	Tanycytes	T0	Control
1.3513	4.036	Tanycytes	T1	Obesity
0.9703	3.5034	Tanycytes	T0	Control
1.2939	4.9888	Tanycytes	T2	Obesity
1.2961	3.8682	Tanycytes	T1	Obesity
1.7304	4.4644	Tanycytes	T2	Obesity
1.091	4.3185	Tanycytes	T2	Obesity
0.9567	3.4094	Tanycytes	T0	Obesity
1.5788	4.1187	Tanycytes	T0	Obesity
1.1978	4.5678	Tanycytes	T2	Control
2.424	3.9144	Tanycytes	T1	Obesity
1.3201	5.0638	Tanycytes	T0	Obesity
1.0215	4.0122	Tanycytes	T1	Obesity
1.5949	3.6106	Tanycytes	T1	Control
0.8842	4.4015	Tanycytes	T1	Control
0.9075	3.3673	Tanycytes	T1	Control
1.604	3.9298	Tanycytes	T1	Control
0.8136	3.6366	Tanycytes	T1	Control
0.7186	3.7161	Tanycytes	T1	Obesity
0.5744	3.8979	Tanycytes	T2	Obesity
2.4632	4.1914	Tanycytes	T0	Control
1.5363	4.5023	Tanycytes	T1	Control
1.6199	4.2261	Tanycytes	T1	Control
0.7807	3.9159	Tanycytes	T0	Obesity
1.5856	4.2118	Tanycytes	T0	Obesity
0.7559	4.3322	Tanycytes	T1	Obesity
1.3513	4.4367	Tanycytes	T0	Obesity
1.2508	4.754	Tanycytes	T1	Obesity
1.5907	3.5191	Tanycytes	T2	Obesity
1.6118	3.2892	Tanycytes	T2	Control
2.611	2.658	Tanycytes	T0	Control
0.9856	2.7463	Tanycytes	T2	Control
0.4321	3.9733	Tanycytes	T1	Control
1.5502	4.1868	Tanycytes	T0	Obesity
0.7363	3.6286	Tanycytes	T0	Obesity
1.0769	3.3293	Tanycytes	T2	Obesity
1.9723	3.478	Tanycytes	T2	Control
1.4193	4.3486	Tanycytes	T1	Control
1.4847	4.3745	Tanycytes	T1	Obesity
1.538	3.5994	Tanycytes	T2	Control
1.5635	4.1238	Tanycytes	T1	Obesity
2.0148	4.2787	Tanycytes	T2	Control
1.297	3.5139	Tanycytes	T0	Control
0.7396	4.7791	Tanycytes	T0	Control
1.4043	3.9139	Tanycytes	T0	Control
1.2135	3.7081	Tanycytes	T1	Obesity
1.8645	3.8713	Tanycytes	T0	Obesity
2.371	3.2678	Tanycytes	T0	Obesity
1.3303	4.1831	Tanycytes	T0	Control
0.8654	5.219	Tanycytes	T0	Control
1.8822	3.7326	Tanycytes	T1	Obesity
1.4265	4.8901	Tanycytes	T0	Control
1.1469	3.6506	Tanycytes	T0	Control
0.2668	4.2801	Tanycytes	T0	Obesity
1.261	3.9795	Tanycytes	T2	Obesity
1.102	3.7374	Tanycytes	T2	Control
1.4606	3.3602	Tanycytes	T2	Obesity
1.2806	4.4551	Tanycytes	T0	Control
1.3323	4.272	Tanycytes	T0	Obesity
1.978	5.5872	Tanycytes	T2	Obesity
0.4869	3.1781	Tanycytes	T0	Control
0.6514	2.9999	Tanycytes	T0	Obesity
0.4629	3.9929	Tanycytes	T2	Obesity
2.2119	3.3248	Tanycytes	T2	Obesity
1.798	4.1233	Tanycytes	T2	Obesity
0.8344	4.514	Tanycytes	T2	Obesity
0.8341	3.3705	Tanycytes	T1	Control
2.6854	4.4593	Tanycytes	T2	Obesity
1.5211	3.8253	Tanycytes	T0	Obesity
0.9673	3.7633	Tanycytes	T0	Control
0.2713	3.0243	Tanycytes	T1	Control
0.6734	4.9032	Tanycytes	T0	Obesity
1.3272	3.4568	Tanycytes	T1	Obesity
2.57	5.0771	Tanycytes	T1	Control
1.5858	4.8402	Tanycytes	T2	Obesity
0.1879	3.117	Tanycytes	T0	Control
