cancer	cell	rho	p
PAAD	T cells gamma delta	0.04	0.14
PCPG	T cells gamma delta	-0.073	0.16
PRAD	T cells gamma delta	-0.172	0.18
SARC	T cells gamma delta	-0.234	0.001
SKCM	T cells gamma delta	-0.245	0.013
STAD	T cells gamma delta	-0.198	0.24
TGCT	T cells gamma delta	-0.097	0.26
THCA	T cells gamma delta	0.045	0.28
THYM	T cells gamma delta	0.206	0.3
UCEC	T cells gamma delta	0.361	0.001
UCS	T cells gamma delta	0.485	0.013
UVM	T cells gamma delta	0.556	0.025
ACC	T cells regulatory Tregs	0.563	0.017
BLCA	T cells regulatory Tregs	0.535	0.033
BRCA	T cells regulatory Tregs	0.44	0.013
CESC	T cells regulatory Tregs	0.29	0.029
CHOL	T cells regulatory Tregs	0.104	0.1
CRC	T cells regulatory Tregs	-0.091	0.12
DLBC	T cells regulatory Tregs	-0.269	0.005
ESCA	T cells regulatory Tregs	-0.405	0.021
GBM	T cells regulatory Tregs	-0.482	0.001
HNSC	T cells regulatory Tregs	-0.492	0.017
KICH	T cells regulatory Tregs	-0.439	0.033
KIRC	T cells regulatory Tregs	-0.334	0.013
KIRP	T cells regulatory Tregs	-0.199	0.26
LAML	T cells regulatory Tregs	-0.058	0.28
LGG	T cells regulatory Tregs	0.064	0.3
LIHC	T cells regulatory Tregs	0.147	0.08
LUAD	T cells regulatory Tregs	0.179	0.1
LUSC	T cells regulatory Tregs	0.154	0.12
MESO	T cells regulatory Tregs	0.081	0.14
OV	T cells regulatory Tregs	-0.025	0.16
PAAD	T cells regulatory Tregs	-0.143	0.18
PCPG	T cells regulatory Tregs	-0.247	0.029
PRAD	T cells regulatory Tregs	-0.316	0.009
SARC	T cells regulatory Tregs	-0.332	0.025
SKCM	T cells regulatory Tregs	-0.288	0.005
STAD	T cells regulatory Tregs	-0.186	0.28
TGCT	T cells regulatory Tregs	-0.037	0.3
THCA	T cells regulatory Tregs	0.138	0.08
THYM	T cells regulatory Tregs	0.312	0.033
UCEC	T cells regulatory Tregs	0.462	0.013
UCS	T cells regulatory Tregs	0.562	0.029
UVM	T cells regulatory Tregs	0.598	0.009
